iter	Logloss
0	0.6471478738
1	0.6087152957
2	0.5730942253
3	0.5441320883
4	0.52072129
5	0.4967244764
6	0.4771436928
7	0.4601183682
8	0.4451805514
9	0.4318647729
10	0.4217272182
11	0.4124014463
12	0.4047950789
13	0.3975670255
14	0.3911701169
15	0.3859726527
16	0.3814389283
17	0.3765224112
18	0.3715777959
19	0.3681792881
20	0.3648183135
21	0.3605720404
22	0.357746916
23	0.3554592293
24	0.3525074637
25	0.3498297507
26	0.3477557583
27	0.3450866142
28	0.3426274745
29	0.3402279574
30	0.3375424533
31	0.3352429405
32	0.3332956555
33	0.3319325188
34	0.3305004107
35	0.3288590238
36	0.3276757744
37	0.3267579139
38	0.3254391788
39	0.3245752149
40	0.3237774379
41	0.3223602255
42	0.3214791607
43	0.320358493
44	0.3189258148
45	0.3170520585
46	0.3158954169
47	0.3149171143
48	0.3133595214
49	0.3126686875
50	0.3121901516
51	0.311410102
52	0.3106245991
53	0.3097606253
54	0.3091347571
55	0.3086025682
56	0.3079681283
57	0.3074255897
58	0.3065931903
59	0.3051037693
60	0.3041087163
61	0.3035246778
62	0.3021861128
63	0.3017781852
64	0.3012182177
65	0.2999928731
66	0.2991973385
67	0.2988207457
68	0.2981139543
69	0.2973401527
70	0.2967427212
71	0.2962830676
72	0.2955466562
73	0.2946515408
74	0.2936024357
75	0.2928945018
76	0.2925181979
77	0.2918066278
78	0.291483223
79	0.291123352
80	0.2907629024
81	0.2901555535
82	0.2898512126
83	0.289183045
84	0.2882357261
85	0.2879448254
86	0.2875256331
87	0.2871790324
88	0.2865832821
89	0.2862768876
90	0.2850995987
91	0.2846573009
92	0.2841211868
93	0.2836179369
94	0.2829840112
95	0.282031186
96	0.2817303842
97	0.2814028146
98	0.2809930938
99	0.2806045146
100	0.2800157761
101	0.2797233982
102	0.2794357245
103	0.2790476732
104	0.2788531369
105	0.2786180027
106	0.2783015434
107	0.2776037044
108	0.2773893256
109	0.2770680856
110	0.2768454928
111	0.2765738154
112	0.2763702978
113	0.275994072
114	0.275762061
115	0.2753424646
116	0.2750903359
117	0.2748447697
118	0.274423747
119	0.2742168286
120	0.2740030591
121	0.2737775
122	0.2732882434
123	0.2726457006
124	0.2724157699
125	0.2721414088
126	0.2716089599
127	0.2712284952
128	0.2710730796
129	0.2707562708
130	0.2702567438
