iter	Passed	Remaining
0	210	209974
1	241	120462
2	272	90509
3	302	75244
4	333	66268
5	364	60429
6	395	56158
7	425	52748
8	453	49985
9	482	47755
10	513	46164
11	543	44727
12	573	43556
13	602	42449
14	631	41501
15	662	40750
16	693	40101
17	724	39505
18	753	38895
19	783	38410
20	813	37941
21	845	37585
22	875	37200
23	906	36884
24	935	36493
25	965	36151
26	994	35853
27	1025	35594
28	1055	35328
29	1081	34978
30	1109	34676
31	1136	34386
32	1164	34122
33	1190	33836
34	1219	33621
35	1246	33376
36	1272	33120
37	1302	32983
38	1329	32769
39	1356	32563
40	1384	32383
41	1411	32196
42	1439	32034
43	1469	31936
44	1499	31826
45	1526	31659
46	1552	31471
47	1579	31332
48	1606	31188
49	1633	31031
50	1662	30931
51	1694	30899
52	1732	30960
53	1770	31011
54	1800	30942
55	1830	30849
56	1861	30794
57	1892	30743
58	1923	30676
59	1950	30557
60	1978	30459
61	2007	30367
62	2032	30233
63	2060	30132
64	2089	30054
65	2117	29961
66	2144	29859
67	2171	29764
68	2200	29687
69	2227	29598
70	2255	29506
71	2283	29435
72	2309	29330
73	2337	29251
74	2365	29172
75	2390	29061
76	2417	28973
77	2442	28876
78	2470	28802
79	2498	28735
80	2526	28664
81	2553	28587
82	2580	28505
83	2606	28427
84	2634	28356
85	2663	28304
86	2689	28229
87	2717	28160
88	2745	28099
89	2772	28032
90	2799	27966
91	2826	27897
92	2852	27815
93	2879	27755
94	2905	27683
95	2931	27601
96	2959	27547
97	2984	27466
98	3011	27405
99	3037	27337
100	3064	27275
101	3091	27213
102	3119	27171
103	3146	27109
104	3173	27052
105	3201	27000
106	3227	26937
107	3255	26884
108	3281	26827
109	3307	26761
110	3335	26713
111	3362	26656
112	3388	26598
113	3417	26562
114	3444	26510
115	3471	26455
116	3500	26418
117	3530	26388
118	3560	26359
119	3587	26305
120	3613	26253
121	3640	26197
122	3668	26159
123	3696	26115
124	3722	26056
125	3749	26009
126	3778	25970
127	3804	25919
128	3840	25934
129	3868	25886
130	3895	25842
131	3921	25784
132	3947	25731
133	3976	25697
134	4002	25645
135	4057	25776
136	4088	25756
137	4115	25706
138	4143	25664
139	4168	25605
140	4197	25572
141	4224	25525
142	4252	25483
143	4278	25435
144	4305	25386
145	4330	25329
146	4357	25287
147	4385	25243
148	4413	25209
149	4441	25167
150	4468	25124
151	4494	25073
152	4521	25030
153	4549	24994
154	4575	24944
155	4602	24902
156	4631	24868
157	4657	24817
158	4685	24780
159	4714	24752
160	4741	24709
161	4768	24668
162	4795	24625
163	4822	24582
164	4850	24545
165	4877	24505
166	4903	24458
167	4929	24413
168	4954	24362
169	4981	24321
170	5009	24286
171	5037	24248
172	5062	24202
173	5091	24168
174	5116	24121
175	5142	24078
176	5170	24041
177	5197	24000
178	5225	23966
179	5252	23927
180	5279	23887
181	5308	23858
182	5335	23820
183	5361	23777
184	5388	23738
185	5412	23686
186	5439	23649
187	5468	23617
188	5493	23574
189	5521	23537
190	5548	23501
191	5575	23462
192	5602	23425
193	5628	23382
194	5654	23342
195	5683	23311
196	5708	23266
197	5734	23227
