iter	Logloss
0	0.6590409323
1	0.6306184144
2	0.6032319359
3	0.5789996701
4	0.5599493354
5	0.5418118335
6	0.5255434556
7	0.5119896697
8	0.4997039271
9	0.4888654386
10	0.4790138849
11	0.4708162828
12	0.4635103786
13	0.456236558
14	0.4494051955
15	0.4439280367
16	0.4385356535
17	0.4333122591
18	0.4290996443
19	0.4250844023
20	0.4219931997
21	0.4188320561
22	0.4157884464
23	0.4123663619
24	0.4093754958
25	0.4060732097
26	0.4041815747
27	0.401792438
28	0.3989475073
29	0.3966216694
30	0.3943874584
31	0.3927608636
32	0.3904422671
33	0.3888679087
34	0.3873415144
35	0.3846294279
36	0.3820953962
37	0.3802506293
38	0.3790279772
39	0.37751746
40	0.3758276668
41	0.3744597734
42	0.373351754
43	0.3726160928
44	0.3713619107
45	0.3700784039
46	0.3688120001
47	0.3676379206
48	0.3664494333
49	0.3653508092
50	0.3638682919
51	0.3629348959
52	0.3619928186
53	0.360396614
54	0.3596643283
55	0.3589427739
56	0.3579555362
57	0.3571984929
58	0.3559389313
59	0.3540493859
60	0.353176883
61	0.3526852624
62	0.3520233713
63	0.3514579041
64	0.3508089775
65	0.350241418
66	0.3494832749
67	0.3483968803
68	0.3474799222
69	0.3466449206
70	0.3461713981
71	0.3456340876
72	0.3452911251
73	0.3449233989
74	0.3443939437
75	0.3438092877
76	0.3430740463
77	0.3426925318
78	0.3417035119
79	0.3407409573
80	0.3402428951
81	0.3399493783
82	0.3394175605
83	0.339065941
84	0.3386007489
85	0.3381550815
86	0.3375614134
87	0.3369209829
88	0.3365186731
89	0.3361089406
90	0.3355805426
91	0.3349913768
92	0.3344555775
93	0.3341547253
94	0.3338325171
95	0.3335228997
96	0.3332425571
97	0.3327604571
98	0.3322471693
99	0.3319074655
100	0.331162946
101	0.3305479384
102	0.3299909936
103	0.3295588331
104	0.3291651488
105	0.3286651094
106	0.3281556001
107	0.3279142873
108	0.3271591001
109	0.3265924011
110	0.3263401167
111	0.3259574475
112	0.3254869052
113	0.3251924416
114	0.3247722499
115	0.3244682368
116	0.3241279488
117	0.323840892
118	0.3235380702
119	0.3232819852
120	0.323104553
121	0.3228160037
122	0.3223804717
123	0.3216953187
124	0.3213137847
125	0.32096213
126	0.3207564322
127	0.3205149851
128	0.3203630694
129	0.3198374471
130	0.3196306775
131	0.3194531178
132	0.3192688998
133	0.3188342247
134	0.3183129584
135	0.3177669116
136	0.3173559394
137	0.3170895404
138	0.3168567564
139	0.3165791313
140	0.3161532732
141	0.3160029843
142	0.3156301507
143	0.31545575
144	0.3152073676
145	0.3150500695
146	0.3145614834
147	0.3143411093
148	0.3141656552
149	0.3137471637
150	0.3135637648
151	0.3133026219
152	0.3130269876
153	0.3127863781
154	0.3125774931
155	0.3124301124
156	0.3122365361
157	0.311685213
158	0.3113616394
159	0.3111979811
160	0.3104693839
161	0.3102280912
162	0.309743299
163	0.3095994483
164	0.3094531115
165	0.3092112188
166	0.3088403085
167	0.3085740668
168	0.3084266923
169	0.3081107385
170	0.3077709857
171	0.3075407982
172	0.3073136366
173	0.3071142637
174	0.3067681881
175	0.3064617331
176	0.3061383113
177	0.3058760341
178	0.3056934546
179	0.3054963368
180	0.3051067444
181	0.3048658528
182	0.3047178311
183	0.3045914585
184	0.3044491112
185	0.3043135357
186	0.3040022095
187	0.3039185956
188	0.3036312153
189	0.3034123881
190	0.3032469563
191	0.3031175523
192	0.3029583303
193	0.3027211518
194	0.3025638768
195	0.3023723267
196	0.3019028724
197	0.3017480846
198	0.3016465615
199	0.3011323254
200	0.3010181819
201	0.3008367248
202	0.3004876119
203	0.3003838112
204	0.3001536401
205	0.2998708189
206	0.2996292806
207	0.2992850759
208	0.2991388741
209	0.2990288409
210	0.2989311914
211	0.2987808426
212	0.2986934447
213	0.2984183182
214	0.2981877805
215	0.2979953137
216	0.2974565172
217	0.2972317813
218	0.2970355192
219	0.2969073665
220	0.2967244968
221	0.2964322444
222	0.2962533394
223	0.2961213582
224	0.2960298832
225	0.2958061324
226	0.2957190561
227	0.2955338284
228	0.2951530583
229	0.2949191745
230	0.2947966605
231	0.294655074
232	0.2944045736
233	0.2942367046
234	0.2940097654
235	0.2936163343
236	0.2932943276
237	0.2930539553
238	0.2929323702
239	0.2927991187
240	0.2926179013
241	0.2924756499
242	0.2921833523
243	0.2917475636
244	0.2915494546
245	0.2911840962
246	0.2909738444
247	0.2907739432
248	0.2903418557
249	0.2900047194
250	0.2896623417
251	0.2895169942
252	0.2890912794
253	0.2889446097
254	0.2881175747
255	0.287439394
256	0.2873325831
257	0.2871991125
258	0.2870920909
259	0.2868067643
260	0.2865945615
261	0.2864969525
262	0.2863526112
263	0.2862173959
264	0.2859680964
265	0.2856623755
266	0.2854493696
267	0.2853478903
268	0.2852406304
269	0.2850216407
270	0.28489909
271	0.2846455475
272	0.2845146219
273	0.2840857435
274	0.2838466467
275	0.283732175
276	0.2836338626
277	0.2834237598
278	0.2829049779
279	0.2825999185
280	0.2822317395
281	0.2820012904
282	0.2815955098
283	0.2814723018
284	0.2813481562
285	0.2807388783
286	0.2804345306
287	0.2803275086
288	0.2802300667
289	0.2801477516
290	0.2797645256
291	0.2795106334
292	0.2790025486
293	0.2788215943
294	0.278714481
295	0.278318465
296	0.2781540915
297	0.2780501765
298	0.2776318404
299	0.2775217443
300	0.2770534229
301	0.2769076895
302	0.2767879131
303	0.2764780694
304	0.2762905575
305	0.2761279717
306	0.2758009165
307	0.2753600121
308	0.275075057
309	0.2749467863
310	0.2745387127
311	0.2740545353
312	0.2734955495
313	0.2731925657
314	0.2730847022
315	0.2730035739
316	0.2729088827
317	0.272726685
318	0.272669335
319	0.2725561476
320	0.2721169618
321	0.271812322
322	0.2716761261
323	0.2712306427
324	0.2711383737
325	0.2706898296
326	0.2704256917
327	0.2703643471
328	0.2697570632
329	0.269422361
330	0.2693130168
331	0.2691392139
332	0.2690467947
333	0.2689537626
334	0.2688498459
335	0.268629371
336	0.2683336743
337	0.2681588026
338	0.2681180936
339	0.2680128159
340	0.2677360789
341	0.2676104899
342	0.2675316073
343	0.2674263353
344	0.2672390498
345	0.267095669
346	0.2666780148
347	0.2664287092
348	0.266344107
349	0.266259884
350	0.2661251394
351	0.2660708765
352	0.265613273
353	0.2655097005
354	0.2654215077
355	0.2653159723
356	0.2649694554
357	0.2648149996
358	0.2644242354
359	0.2642488309
360	0.2640194402
361	0.2638827198
362	0.2637348254
363	0.2634448017
364	0.2633773066
365	0.2633109268
366	0.2630228428
367	0.2620066573
368	0.261715349
369	0.2616364817
370	0.2614084359
371	0.2612991194
372	0.2609345594
373	0.2607387889
374	0.2598541084
375	0.2593151086
376	0.2590362746
377	0.2589636634
378	0.2589140132
379	0.2588260434
380	0.2587829362
381	0.2586439158
382	0.2585461332
383	0.2582373829
384	0.2581008888
385	0.2579296759
386	0.2578661037
387	0.2575547598
388	0.2573615881
389	0.2571465468
390	0.2571173251
391	0.2569847513
392	0.2568980691
393	0.2565355434
394	0.256342511
395	0.256137057
396	0.2558401911
397	0.2557839701
398	0.2557116241
399	0.2556055311
400	0.2555295037
401	0.255416976
402	0.2553422937
403	0.2552541321
404	0.2550787769
405	0.2549753425
406	0.2549569877
407	0.2548122983
408	0.2546544628
409	0.2544247823
410	0.2543272625
411	0.2541044635
412	0.253996834
413	0.2538890467
414	0.253841548
415	0.2537147288
416	0.2536007835
417	0.2534925555
418	0.2534286594
419	0.2533925495
420	0.2533143338
421	0.2528755148
422	0.2527396099
423	0.2527083481
424	0.2525541277
425	0.25233716
426	0.2522721667
427	0.2521589384
428	0.2521039641
429	0.2518788338
430	0.251864692
431	0.2515269608
432	0.2514700641
433	0.2513206123
434	0.2509295972
435	0.2507453333
436	0.2504702154
437	0.2503927827
438	0.2502121776
439	0.2501152471
440	0.2500444586
441	0.2499146479
442	0.2497745101
443	0.2496098
444	0.2495559656
445	0.2493928094
446	0.2493298573
447	0.2491895405
448	0.2491546462
449	0.2490555211
450	0.2489741843
451	0.2488020527
452	0.2487457245
453	0.2486824285
454	0.2486283923
455	0.2485914758
456	0.2485543655
457	0.2484327888
458	0.2483701906
459	0.2482728041
460	0.2482349486
461	0.2478918634
462	0.2477665601
463	0.2476907367
464	0.2474533198
465	0.2473724236
466	0.2472165097
467	0.2471544371
468	0.2470987742
469	0.2469926126
470	0.2469215212
471	0.2467468697
472	0.2466252093
473	0.2465686576
474	0.2464186989
475	0.2462898566
476	0.2460981619
477	0.2460260901
478	0.2457899361
479	0.2455991405
480	0.2455149588
481	0.2454768118
482	0.2454210467
483	0.2453509565
484	0.2453383948
485	0.2449819481
486	0.244921826
487	0.2447436955
488	0.2446537773
489	0.2445772908
490	0.244475725
491	0.2442750465
492	0.2442279837
493	0.2441928621
494	0.2441369423
495	0.2440056955
496	0.2435749377
497	0.2435376044
498	0.2434084037
499	0.2433576911
500	0.2431432899
501	0.2430991931
502	0.242963423
503	0.2429068987
504	0.2427563225
505	0.2426576951
506	0.2423031075
507	0.2422655599
508	0.2418805346
509	0.2418237848
510	0.241755246
511	0.2416756168
512	0.241334319
513	0.2411975524
514	0.2410569116
515	0.2409771437
516	0.2408396185
517	0.2405612108
518	0.2405186805
519	0.2403623407
520	0.2402437947
521	0.2401890587
522	0.2400374564
523	0.2399269298
524	0.2398402338
525	0.2396623212
526	0.2396200061
527	0.2395250091
528	0.2394995618
529	0.2393679599
530	0.2393220026
531	0.2391268526
532	0.2389807643
533	0.2389103577
534	0.238846931
535	0.2388090098
536	0.2387608291
537	0.2387110247
538	0.2386650546
539	0.2384047329
540	0.2383752636
541	0.2383296891
542	0.2382672353
543	0.2382030963
544	0.238056291
545	0.2380247696
546	0.2379990617
547	0.2379685513
548	0.2379154681
549	0.2377998591
550	0.2377141835
551	0.2374903991
552	0.2374130424
553	0.2373930587
554	0.2373463472
555	0.2373285632
556	0.2373025184
