iter	Passed	Remaining
0	14	14947
1	29	14710
2	41	13841
3	54	13683
4	68	13665
5	82	13634
6	95	13593
7	108	13507
8	120	13310
9	134	13286
10	148	13337
11	160	13230
12	173	13170
13	187	13187
14	200	13142
15	212	13041
16	224	12972
17	236	12889
18	249	12874
19	261	12816
20	273	12769
21	285	12710
22	298	12662
23	311	12660
24	323	12608
25	334	12543
26	347	12514
27	359	12493
28	372	12469
29	384	12416
30	396	12382
31	409	12393
32	422	12369
33	433	12322
34	445	12293
35	458	12272
36	470	12237
37	481	12198
38	493	12172
39	506	12153
40	519	12141
41	531	12120
42	543	12106
43	556	12096
44	568	12058
45	580	12030
46	592	12021
47	605	11999
48	617	11985
49	629	11968
50	642	11949
51	654	11931
52	666	11900
53	678	11885
54	690	11860
55	702	11844
56	713	11806
57	726	11794
58	737	11766
59	749	11741
60	760	11713
61	773	11703
62	785	11687
63	797	11660
64	809	11643
65	821	11626
66	833	11609
67	845	11588
68	858	11586
69	874	11621
70	891	11662
71	906	11681
72	918	11666
73	931	11651
74	944	11652
75	956	11629
76	969	11616
77	983	11620
78	996	11613
79	1010	11621
80	1035	11742
81	1065	11929
82	1081	11949
83	1094	11939
84	1106	11911
85	1118	11890
86	1131	11874
87	1144	11857
88	1156	11839
89	1168	11813
90	1180	11792
91	1192	11768
92	1204	11744
93	1216	11721
94	1228	11701
95	1239	11674
96	1252	11664
97	1264	11641
98	1276	11614
99	1287	11589
100	1299	11563
101	1311	11547
102	1322	11520
103	1334	11495
104	1347	11483
105	1358	11460
106	1370	11439
107	1382	11417
108	1394	11401
109	1406	11378
110	1418	11357
111	1429	11336
112	1442	11322
113	1453	11297
114	1466	11282
115	1478	11267
116	1489	11244
117	1503	11237
118	1516	11224
119	1527	11201
120	1539	11186
121	1551	11168
122	1564	11154
123	1576	11136
124	1587	11111
125	1598	11091
126	1610	11070
127	1622	11053
128	1633	11028
129	1645	11008
130	1657	10995
131	1669	10976
132	1680	10955
133	1692	10936
134	1704	10919
135	1715	10899
136	1727	10880
137	1740	10869
138	1753	10860
139	1765	10847
140	1778	10833
141	1789	10815
142	1801	10795
143	1813	10779
144	1825	10761
145	1836	10745
146	1848	10726
147	1860	10708
148	1872	10694
149	1884	10679
150	1897	10666
151	1909	10652
